,id,name,team1,team2,venue,score
58,3,YK Pathan,Gujarat Lions,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,0
59,3,AJ Finch,Gujarat Lions,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,21
60,3,SP Narine,Gujarat Lions,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,0
61,4,SPD Smith,Rising Pune Supergiant,Kings XI Punjab,Holkar Cricket Stadium,29
62,4,R Bhatia,Rising Pune Supergiant,Kings XI Punjab,Holkar Cricket Stadium,0
63,4,BA Stokes,Rising Pune Supergiant,Kings XI Punjab,Holkar Cricket Stadium,69
64,4,MS Dhoni,Rising Pune Supergiant,Kings XI Punjab,Holkar Cricket Stadium,5
65,4,HM Amla,Rising Pune Supergiant,Kings XI Punjab,Holkar Cricket Stadium,33
66,4,M Vohra,Rising Pune Supergiant,Kings XI Punjab,Holkar Cricket Stadium,18
67,4,MP Stoinis,Rising Pune Supergiant,Kings XI Punjab,Holkar Cricket Stadium,25
68,4,MA Agarwal,Rising Pune Supergiant,Kings XI Punjab,Holkar Cricket Stadium,-2
69,4,MM Sharma,Rising Pune Supergiant,Kings XI Punjab,Holkar Cricket Stadium,0
70,4,GJ Maxwell,Rising Pune Supergiant,Kings XI Punjab,Holkar Cricket Stadium,59
71,4,WP Saha,Rising Pune Supergiant,Kings XI Punjab,Holkar Cricket Stadium,17
72,4,Imran Tahir,Rising Pune Supergiant,Kings XI Punjab,Holkar Cricket Stadium,50
73,4,T Natarajan,Rising Pune Supergiant,Kings XI Punjab,Holkar Cricket Stadium,25
74,4,DT Christian,Rising Pune Supergiant,Kings XI Punjab,Holkar Cricket Stadium,22
75,4,AR Patel,Rising Pune Supergiant,Kings XI Punjab,Holkar Cricket Stadium,53
76,4,AB Dinda,Rising Pune Supergiant,Kings XI Punjab,Holkar Cricket Stadium,25
77,4,RD Chahar,Rising Pune Supergiant,Kings XI Punjab,Holkar Cricket Stadium,25
78,4,AM Rahane,Rising Pune Supergiant,Kings XI Punjab,Holkar Cricket Stadium,23
79,4,Sandeep Sharma,Rising Pune Supergiant,Kings XI Punjab,Holkar Cricket Stadium,50
80,4,Swapnil Singh,Rising Pune Supergiant,Kings XI Punjab,Holkar Cricket Stadium,25
81,4,MK Tiwary,Rising Pune Supergiant,Kings XI Punjab,Holkar Cricket Stadium,49
82,4,DA Miller,Rising Pune Supergiant,Kings XI Punjab,Holkar Cricket Stadium,37
83,5,SW Billings,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,29
84,5,A Mishra,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,8
85,5,PJ Cummins,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,32
86,5,P Negi,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,63
87,5,KM Jadhav,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,97
88,5,Mandeep Singh,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,15
89,5,B Stanlake,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,50
90,5,CR Brathwaite,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,1
91,5,STR Binny,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,17
92,5,TS Mills,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,23
93,5,S Nadeem,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,23
94,5,Vishnu Vinod,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,12
95,5,CH Gayle,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,7
96,5,SV Samson,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,14
97,5,AP Tare,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,21
98,5,Iqbal Abdulla,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,55
99,5,SR Watson,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,53
100,5,RR Pant,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,80
101,5,CH Morris,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,79
102,5,KK Nair,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,5
103,5,YS Chahal,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,25
104,5,Z Khan,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,51
105,6,DS Kulkarni,Gujarat Lions,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",1
106,6,Bipul Sharma,Gujarat Lions,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",0
107,6,SK Raina,Gujarat Lions,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5
108,6,Basil Thampi,Gujarat Lions,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",16
109,6,A Nehra,Gujarat Lions,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",25
110,6,Rashid Khan,Gujarat Lions,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",75
111,6,S Kaushik,Gujarat Lions,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",0
112,6,P Kumar,Gujarat Lions,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",32
113,6,MC Henriques,Gujarat Lions,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",66
114,6,Tejas Baroka,Gujarat Lions,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",0
115,6,BB McCullum,Gujarat Lions,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5
116,6,DA Warner,Gujarat Lions,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",102
117,6,JJ Roy,Gujarat Lions,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",36
118,6,KD Karthik,Gujarat Lions,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",32
119,6,DR Smith,Gujarat Lions,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",44
120,6,BCJ Cutting,Gujarat Lions,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",0
121,6,B Kumar,Gujarat Lions,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",50
122,6,AJ Finch,Gujarat Lions,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",3
123,6,S Dhawan,Gujarat Lions,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",12
124,7,AS Rajpoot,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,75
125,7,KA Pollard,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,21
126,7,TA Boult,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,0
127,7,YK Pathan,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,6
128,7,N Rana,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,72
129,7,G Gambhir,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,22
130,7,KH Pandya,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,88
131,7,MK Pandey,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,109
132,7,PA Patel,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,36
133,7,JJ Bumrah,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,25
134,7,RV Uthappa,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,5
135,7,SL Malinga,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,50
136,7,MJ McClenaghan,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,25
137,7,CR Woakes,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,34
138,7,JC Buttler,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,35
139,7,CA Lynn,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,38
140,7,Harbhajan Singh,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,1
141,7,RG Sharma,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,2
142,7,HH Pandya,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,38
143,7,Kuldeep Yadav,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,25
144,7,SA Yadav,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,19
145,7,SP Narine,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,26
146,8,M Vohra,Royal Challengers Bangalore,Kings XI Punjab,Holkar Cricket Stadium,41
147,8,T Natarajan,Royal Challengers Bangalore,Kings XI Punjab,Holkar Cricket Stadium,0
148,8,Sandeep Sharma,Royal Challengers Bangalore,Kings XI Punjab,Holkar Cricket Stadium,25
149,8,MP Stoinis,Royal Challengers Bangalore,Kings XI Punjab,Holkar Cricket Stadium,0
150,8,Iqbal Abdulla,Royal Challengers Bangalore,Kings XI Punjab,Holkar Cricket Stadium,0
151,8,AR Patel,Royal Challengers Bangalore,Kings XI Punjab,Holkar Cricket Stadium,37
152,8,B Stanlake,Royal Challengers Bangalore,Kings XI Punjab,Holkar Cricket Stadium,0
153,8,P Negi,Royal Challengers Bangalore,Kings XI Punjab,Holkar Cricket Stadium,0
154,8,KM Jadhav,Royal Challengers Bangalore,Kings XI Punjab,Holkar Cricket Stadium,1
155,8,SR Watson,Royal Challengers Bangalore,Kings XI Punjab,Holkar Cricket Stadium,1
156,8,STR Binny,Royal Challengers Bangalore,Kings XI Punjab,Holkar Cricket Stadium,22
157,8,TS Mills,Royal Challengers Bangalore,Kings XI Punjab,Holkar Cricket Stadium,25
158,8,VR Aaron,Royal Challengers Bangalore,Kings XI Punjab,Holkar Cricket Stadium,50
159,8,YS Chahal,Royal Challengers Bangalore,Kings XI Punjab,Holkar Cricket Stadium,25
160,8,Vishnu Vinod,Royal Challengers Bangalore,Kings XI Punjab,Holkar Cricket Stadium,8
161,8,MM Sharma,Royal Challengers Bangalore,Kings XI Punjab,Holkar Cricket Stadium,0
